Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Max Qty (product.metafields.custom.max_qty),Alamat Apotek (product.metafields.vendor_info.address),Nama Apoteker (product.metafields.vendor_info.apoteker),Waktu Praktik (product.metafields.vendor_info.practice_hours),Jadwal Toko (product.metafields.vendor_info.schedule),Nomor SIA (product.metafields.vendor_info.sia),Nomor SIPA (product.metafields.vendor_info.sipa),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
betadine-mbf-salep,Betadine Mbf Salep,"<p>Dus, Tube 5 G</p><p>Deskripsi: BETADINE Mbf SALEP adalah salep antiseptik yang mengandung povidoneiodine yang berkhasiat untuk mencegh dan mengobati infeksi pada luka dan luka bakar</p><p>Komposisi: Povidone Iodine 10%</p><p>Golongan Obat: PKRT</p><p>Bentuk Sediaan: SALEP</p><p>NIE:PKD 20501710037</p><p>Exp Date:-</p>",Inofarma,,"","Kesehatan, mqty:0",true,Title,Default Title,,,,,,,,ID102067-3,5.0,shopify,deny,manual,15800.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID102067-3_19082025_0e458921-6bc1-489c-a9cf-d09a84414693.jpg?v=1760338141,1,Betadine Mbf Salep,false,Betadine Mbf Salep,BETADINE Mbf SALEP  salep antiseptik yang mengandung povidoneiodine yang berkhasiat untuk mencegh dan mengobati infeksi pada luka dan luka bakar,,,,,,,,,g,,,active
balsem-tolak-angin,Balsem Tolak Angin,"<p>Dus, 6 Pot Kaca @ 20 Gram</p><p>Deskripsi: BALSEM TOLAK ANGIN Sido Muncul merupakan obat herbal oles yang dapat membantu meredakan nyeri dan sakit.</p><p>Komposisi: Vaselinum Flavum, Mentholatum, Camphorae, Wax, Oleum Cajuputi, Parrafinium Liq, Oleum Menthae, Menthylis Salicylas, Oleum Cinnamoni, Oleum Caryophyli</p><p>Golongan Obat: KUASI</p><p>Bentuk Sediaan: BALSAM</p><p>NIE:QD202717741</p><p>Exp Date:07/2026</p>",Inofarma,,"","Kesehatan, mqty:0",true,Title,Default Title,,,,,,,,ID101727-2,20.0,shopify,deny,manual,100400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID101727-2_20082025_3de2fd53-051b-4d36-bdc4-145478d9c21a.png?v=1760338138,1,Balsem Tolak Angin ,false,Balsem Tolak Angin ,BALSEM TOLAK ANGIN Sido Muncul merupakan obat herbal oles yang dapat membantu meredakan nyeri dan sakit.,,,,,,,,,g,,,active
balsem-putih-lion-head,Balsem Putih Lion Head,"<p>Pot Kaca @ 31 G</p><p>Deskripsi: BALSEM PUTIH LION HEAD Selpasindo Pharco adalah obat gosok yang mengandung menthol, camphora, oil yang berkhasiat untuk membantu meringankan sakit kepala, sakit pinggang, pegal linu, gatal-gatal digigit serangga</p><p>Komposisi: Menthol 45 mg, champora 17 mg, oil 170 ml, basis ad 100%</p><p>Golongan Obat: KUASI</p><p>Bentuk Sediaan: BALSAM</p><p>NIE:QD073707561</p><p>Exp Date:03/2029</p>",Inofarma,,"","Kesehatan, mqty:0",true,Title,Default Title,,,,,,,,ID101713-2,35.0,shopify,deny,manual,24700.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID101713-2_19082025_adf3cb74-2771-43e0-ad68-0e46d2b194ec.png?v=1760338138,1,Balsem Putih Lion Head ,false,Balsem Putih Lion Head ,"BALSEM PUTIH LION HEAD Selpasindo Pharco  obat gosok yang mengandung menthol, camphora, oil yang berkhasiat untuk membantu meringankan sakit kepala, sakit pinggang, pegal linu, gatal-gatal digigit serangga",,,,,,,,,g,,,active
balpirik-ekstra-kuat-merah-balsem,Balpirik Ekstra Kuat (Merah) Balsem,"<p>Dus, Pot Plastik 20 G</p><p>Deskripsi: BALPIRIK EKSTRA KUAT (MERAH) Arto BALSEM adalah obat gosok yang mengandung cajuputi oil, eucalypti oil, menthol, camphor, peppermint oil, clove oil, methyl salicylate yang berkhasiat untuk nyeri otot dan keseleo</p><p>Komposisi: Oleum cayuputi 10%, Oleum Eucalypti 4%, Oleum Miristicae 1%, Terpentine 2%, Menthol 0,5%, Vaselin Album ad 100%</p><p>Golongan Obat: KUASI</p><p>Bentuk Sediaan: BALSAM</p><p>NIE:QD072707081</p><p>Exp Date:05/2030</p>",Inofarma,,"","Kesehatan, mqty:0",true,Title,Default Title,,,,,,,,ID101667-2,20.0,shopify,deny,manual,14600.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID101667-2_19082025_356318d0-8265-4993-ac9c-f540876ce88d.png?v=1760338133,1,Balpirik Ekstra Kuat (Merah) Balsem,false,Balpirik Ekstra Kuat (Merah) Balsem,"BALPIRIK EKSTRA KUAT (MERAH) Arto BALSEM  obat gosok yang mengandung cajuputi oil, eucalypti oil, menthol, camphor, peppermint oil, clove oil, methyl salicylate yang berkhasiat untuk nyeri otot dan keseleo",,,,,,,,,g,,,active
apialys-sirup,Apialys Sirup,"<p>Dus, Botol Kaca @ 100 Ml</p><p>Deskripsi: APIALYS Lapi SIRUP adalah suplemen vitaminngandung Tiap 5 mL sirup mengandung vitamin A 5,000 IU, vitamin B1 3 mg, vitamin B2 2 mg, vitamin B6 6 mg, vitamin B12 5 mcg, vitamin C 50 mg, vitamin D 400 IU, nicotinamide 20 mg, lysine HCl 250 mg, d pantothenol 5 mg, l glutamic acid 25 mg yang diindikasiakn untuk meningkatkan nafsu makan dan stamina tubuh pada anak2 yang bertumbuh</p><p>Komposisi: Tiap 5 mL sirup mengandung vitamin A 5,000 IU, vitamin B1 3 mg, vitamin B2 2 mg, vitamin B6 6 mg, vitamin B12 5 mcg, vitamin C 50 mg, vitamin D 400 IU, nicotinamide 20 mg, lysine HCl 250 mg, d- pantothenol 5 mg, l- glutamic acid 25 mg</p><p>Golongan Obat: SUPLEMEN</p><p>Bentuk Sediaan: SIRUP</p><p>NIE:SD041618881</p><p>Exp Date:03/2027</p>",Inofarma,,"","mqty:0, Vitamin & Suplemen",true,Title,Default Title,,,,,,,,ID101165-1,100.0,shopify,deny,manual,49400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID101165-1_19082025_508d1651-5b9b-49c5-8b84-5fee0e6cd3c1.png?v=1760338132,1,Apialys Sirup,false,Apialys Sirup,"APIALYS Lapi SIRUP  suplemen vitaminngandung Tiap 5 mL sirup mengandung vitamin A 5,000 IU, vitamin B1 3 mg, vitamin B2 2 mg, vitamin B6 6 mg, vitamin B12 5 mcg, vitamin C 50 mg, vitamin D 400 IU, nicotinamide 20 mg, lysine HCl 250 mg, d pantothenol 5 mg, l glutamic acid 25 mg yang diindikasiakn untuk meningkatkan nafsu makan dan stamina tubuh pada anak2 yang bertumbuh",,,,,,,,,g,,,active
apialys-drops,Apialys Drops,"<p>Dus, Botol Kaca @ 10 Ml</p><p>Deskripsi: APIALYS Lapi DROPS adalah suplemen vitaminngandung Tiap 0,6 mL sirup mengandung vitamin A 2,000 IU, vitamin C 30 mg, vitamin D 400 IU, vitamin B1 1 mg, vitamin B2 1.2 mg, vitamin B6 1 mg, vitamin B12 2 mcg, nicotinamide 10 mg, pantothenol 5 mg, lysine HCl 25 mg yang diindikasiakn untuk meningkatkan nafsu makan dan stamina tubuh pada anak2 yang bertumbuh</p><p>Komposisi: Tiap 0,6 mL sirup mengandung vitamin A 2,000 IU, vitamin C 30 mg, vitamin D 400 IU, vitamin B1 1 mg, vitamin B2 1.2 mg, vitamin B6 1 mg, vitamin B12 2 mcg, nicotinamide 10 mg, pantothenol 5 mg, lysine HCl 25 mg</p><p>Golongan Obat: SUPLEMEN</p><p>Bentuk Sediaan: DROPS</p><p>NIE:SD041618871</p><p>Exp Date:01/2027</p>",Inofarma,,"","mqty:0, Vitamin & Suplemen",true,Title,Default Title,,,,,,,,ID101164-1,10.0,shopify,deny,manual,58600.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID101164-1_19082025_06dec889-ea3e-4bd8-92a4-62de8e3f37ab.png?v=1760338131,1,Apialys Drops,false,Apialys Drops,"APIALYS Lapi DROPS  suplemen vitaminngandung Tiap 0,6 mL sirup mengandung vitamin A 2,000 IU, vitamin C 30 mg, vitamin D 400 IU, vitamin B1 1 mg, vitamin B2 1.2 mg, vitamin B6 1 mg, vitamin B12 2 mcg, nicotinamide 10 mg, pantothenol 5 mg, lysine HCl 25 mg yang diindikasiakn untuk meningkatkan nafsu makan dan stamina tubuh pada anak2 yang bertumbuh</p>",,,,,,,,,g,,,active
antangin-mint-sirup,Antangin Mint Sirup,"<p>Dus, 12 Sachet @ 15 Ml</p><p>Deskripsi: ANTANGIN MINT Deltomed SIRUP merupakan obat herbal yang berkhasiat meredakan gejala masuk angin, seperti kelelahan, meriang, mual dan perut kembung</p><p>Komposisi: Zingiberis officinale rhizoma 3,875 mg, Menthol arvensidis folium 1.570 mg, Blumeae balsamiferae folium 1,2 mg, myristicae fragrancis semen 180 mg, glycyrhizae glabrae radix 128 mg, curcumae domestica rhizoma 53 mg, mei depuratum 800 mg, potasium sorbat</p><p>Golongan Obat: OBAT TRADISIONAL</p><p>Bentuk Sediaan: SIRUP</p><p>NIE:TR132672221</p><p>Exp Date:04/2027</p>",Inofarma,,"","mqty:0, Obat Tradisional",true,Title,Default Title,,,,,,,,ID101074-2,15.0,shopify,deny,manual,40600.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID101074-2_19082025_eba2032f-8e41-486a-8932-3910c0e274d5.png?v=1760338131,1,Antangin Mint Sirup,false,Antangin Mint Sirup,"ANTANGIN MINT Deltomed SIRUP merupakan obat herbal yang berkhasiat meredakan gejala masuk angin, seperti kelelahan, meriang, mual dan perut kembung",,,,,,,,,g,,,active
antangin-jrg-plus-jahe-merah,Antangin Jrg Plus Jahe Merah,"<p>Dus, 20 Strip @ 4 Tablet @ 650 Mg</p><p>Deskripsi: ANTANGIN JRG PLUS JAHE MERAH Deltomed TABLET adalah sirup herbal yang mengandung ekstrak zingiberis rhizoma, ekstrak blumae folia, ekstrak menthae folia, madu, royal jelly, ekstrak panax ginseng yang berkhasiat untuk mengobati masuk angin, melegakan tenggorokan, mengobati masuk angin seperti rasa meriang, rasa mual, perut kembung, keluar keringat dingin dan capekcapek, menjaga daya tahan tubuh seperti pergantian cuaca, kurang tidur, bekerja keras dan perjalanan jauh</p><p>Komposisi: Zingiberis Rhizoma 0,743 g, Royal Jelly 0,65 g, Panax Ginseng Extract 0,13 g, blumeae Folia 0,2476 g, Menthae Folia 0,495 g</p><p>Golongan Obat: OBAT TRADISIONAL</p><p>Bentuk Sediaan: TABLET</p><p>NIE:TR152586931</p><p>Exp Date:02/2028</p>",Inofarma,,"","mqty:0, Obat Tradisional",true,Title,Default Title,,,,,,,,ID101069-1,0.65,shopify,deny,manual,71400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID101069-1_19082025_ffb99e7b-1378-419a-83c0-faaef6baa5e8.png?v=1760338130,1,Antangin Jrg Plus Jahe Merah ,false,Antangin Jrg Plus Jahe Merah ,"ANTANGIN JRG PLUS JAHE MERAH Deltomed TABLET  sirup herbal yang mengandung ekstrak zingiberis rhizoma, ekstrak blumae folia, ekstrak menthae folia, madu, royal jelly, ekstrak panax ginseng yang berkhasiat untuk mengobati masuk angin, melegakan tenggorokan, mengobati masuk angin seperti rasa meriang, rasa mual, perut kembung, keluar keringat dingin dan capekcapek, menjaga daya tahan tubuh seperti pergantian cuaca, kurang tidur, bekerja keras dan perjalanan jauh",,,,,,,,,g,,,active
antangin-jrg-madu-sirup-herbal,Antangin Jrg + Madu Sirup Herbal,"<p>Dus, 12 Sachet @ 15 Ml</p><p>Deskripsi: ANTANGIN JRG + MADU Deltomed SIRUP HERBAL adalah sirup herbal yang mengandung zingeberis rhizoma, royal jelly, panax ginseng, blumeae folia, menthae folia, glycyrrhizae glabra radix, madu yang berkhasiat untuk meredakan masuk angin, meriang, rasa mual, perut kembung, capekcapek dan pusing</p><p>Komposisi: Zingiberis officinalis Rhizoma 7.336 g, Menthae arventis folium 4.890 g, Blumeae balsamiferae folium 2.445 g, Panax gingseng Radix 1.00 g, Myristicae fragrancis semen 0.562 g, Glycyrhizae glabraRadix 0.4 g, Curcumae domestica Rhizoma 0.1 g, Royal jelly 0.03 g, Honey 0.8 g</p><p>Golongan Obat: OHT</p><p>Bentuk Sediaan: SIRUP</p><p>NIE:HT112600041</p><p>Exp Date:05/2027</p>",Inofarma,,"","mqty:0, Obat Tradisional",true,Title,Default Title,,,,,,,,ID101068-1,15.0,shopify,deny,manual,39900.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID101068-1_19082025_be8a6a8b-7689-4d11-8ab9-d164ed809d53.png?v=1760338130,1,Antangin Jrg + Madu Sirup Herbal ,false,Antangin Jrg + Madu Sirup Herbal ,"ANTANGIN JRG + MADU Deltomed SIRUP HERBAL  sirup herbal yang mengandung zingeberis rhizoma, royal jelly, panax ginseng, blumeae folia, menthae folia, glycyrrhizae glabra radix, madu yang berkhasiat untuk meredakan masuk angin, meriang, rasa mual, perut kembung, capekcapek dan pusing",,,,,,,,,g,,,active
mucohexin-tablet,Mucohexin Tablet,"<p>Dus, 25 Catch Cover @ 1 Strip @ 4 Tablet</p><p>Deskripsi: MUCOHEXIN Sanbe TABLET adalah obat yang mengandung bromhexine hydrochloride yang diindikasikan untuk mengatasi batuk berdahak</p><p>Komposisi: Bromhexine Hydrochloride 8 mg</p><p>Golongan Obat: BLUE</p><p>Bentuk Sediaan: TABLET</p><p>NIE:DTL8322202010A1</p><p>Exp Date:11/2026</p>",Inofarma,,"","mqty:1, Obat Bebas",true,Title,Default Title,,,,,,,,ID113692-1,73.0,shopify,deny,manual,94900.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID113692-1_04092025_f81984b5-7455-4491-9f4f-122fb2df34ca.jpg?v=1760337211,1,Mucohexin Tablet,false,Mucohexin Tablet,MUCOHEXIN Sanbe TABLET adalah obat yang mengandung bromhexine hydrochloride yang diindikasikan untuk mengatasi batuk berdahak,,,,,,,,,g,,,active
elevit-tablet,Elevit Tablet,"<p>Dus, 5 Strip @ 6 Tablet Salut Selaput</p><p>Deskripsi: ELEVIT Bayer TABLET merupakan obat yang mengandung ascorbic acid, biotin, calcium hydrogen phospate, calcium pantothenate, cholecalciferol, copper sulfate, cyanocobalamin, dl-alfa tocoferol, ferrous bisglycinate, folic acid, levomefolate calcium, magnesium oxide heavy, manganese sulfate, nicotinamide, potassium iodide, pyridoxine hydrochloride, riboflavin, sodium selenite, thiamine mononitrate, zinc citrate trihydrate yang diindikasikan untuk memenuhi kebutuhan vitamin dan mineral yang mendukung persiapan kehamilan ibu.</p><p>Komposisi: Vit A 4,000 IU, vit B11.6 mg, vit B21.8 mg, vit B62.6 mg, vit B124 mcg, vit C 100 mg, vit D 500 IU, d-biotin 0.2 mg, Ca pantothenate 10 mg, folic acid 0.8 mg, nicotinamide 19 mg, Ca 125 mg, Fe 60 mg, Mg 100 mg, copper 1 mg, manganese 1 mg, Zn 7.5 mg, phosphorus 125 mg</p><p>Golongan Obat: GREEN</p><p>Bentuk Sediaan: TABLET</p><p>NIE:DBL2302009917A1</p><p>Exp Date:03/2027</p>",Inofarma,,"","mqty:1, Obat Bebas",true,Title,Default Title,,,,,,,,ID105521-1,84.0,shopify,deny,manual,103800.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID105521-1_22082025_afc701a6-2bb7-467c-8c21-42d58013413b.jpg?v=1760337210,1,Elevit Tablet,false,Elevit Tablet,"ELEVIT Bayer TABLET merupakan obat yang mengandung ascorbic acid, biotin, calcium hydrogen phospate, calcium pantothenate, cholecalciferol, copper sulfate, cyanocobalamin, dl-alfa tocoferol, ferrous bisglycinate, folic acid, levomefolate calcium, magnesium oxide heavy, manganese sulfate, nicotinamide, potassium iodide, pyridoxine hydrochloride, riboflavin, sodium selenite, thiamine mononitrate, zinc citrate trihydrate yang diindikasikan untuk memenuhi kebutuhan vitamin dan mineral yang mendukung persiapan kehamilan ibu.",,,,,,,,,g,,,active
bisacodyl-tablet-5-mg,Bisacodyl Tablet 5 Mg,"<p>Dus, 3 Catch Cover @ 1 Strip @ 10 Tablet Salut Enterik</p><p>Deskripsi: BISACODYL Etercon TABLET 5 MG merupakan obat yang mengandung bisacodyl yang berfungsi untuk mengatasi konstipasi (sembelit).</p><p>Komposisi: Bisacodyl 5 mg</p><p>Golongan Obat: BLUE</p><p>Bentuk Sediaan: TABLET</p><p>NIE:GTL1115710615A1</p><p>Exp Date:-</p>",Inofarma,,"","mqty:1, Obat Bebas",true,Title,Default Title,,,,,,,,ID102377-1,47.0,shopify,deny,manual,24200.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID102377-1_19082025_44850554-3de1-4f44-a688-faad418617a3.jpg?v=1760337209,1,Bisacodyl Tablet 5 Mg,false,Bisacodyl Tablet 5 Mg,BISACODYL Etercon TABLET 5 MG merupakan obat yang mengandung bisacodyl yang berfungsi untuk mengatasi konstipasi (sembelit).,,,,,,,,,g,,,active
rydian-guardian-tablet-10-mg,Rydian Guardian Tablet 10 Mg,"<p>Dus, 3 Strip @ 10 Tablet Salut Selaput</p><p>Deskripsi: RYDIAN Guardian TABLET 10 MG adalah obat yang mengandung Cetirizine Hydrochloride yang diindikasikan untuk meredakan gejala akibat reaksi alergi, seperti mata berair, bersin-bersin, hidung meler, atau gatal di kulit, tenggorokan, maupun hidung.</p><p>Komposisi: Cetirizine Hcl 10 Mg per Tablet</p><p>Golongan Obat: BLUE</p><p>Bentuk Sediaan: TABLET</p><p>NIE:DTL0408013617A1</p><p>Exp Date:02/2027</p>",Inofarma,,"","mqty:1, Obat Bebas",true,Title,Default Title,,,,,,,,ID118265-2,21.0,shopify,deny,manual,191600.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID118265-2_12092025_cf567936-0110-49c5-bdf6-da183af2280e.jpg?v=1760337208,1,Rydian Guardian Tablet 10 Mg,false,Rydian Guardian Tablet 10 Mg,"RYDIAN Guardian TABLET 10 MG adalah obat yang mengandung Cetirizine Hydrochloride yang diindikasikan untuk meredakan gejala akibat reaksi alergi, seperti mata berair, bersin-bersin, hidung meler, atau gatal di kulit, tenggorokan, maupun hidung.",,,,,,,,,g,,,active
loratadine-tablet-10-mg,Loratadine Tablet 10 Mg,"<p>Dus, 10 Strip @ 10 Tablet</p><p>Deskripsi: LORATADINE Hexpharm TABLET 10 MG adalah obat yang mengandung loratadine yang diindikasikan untuk mengatasi gejala alergi seperti hay fever, urtikaria.</p><p>Komposisi: Loratadine 10 mg</p><p>Golongan Obat: BLUE</p><p>Bentuk Sediaan: TABLET</p><p>NIE:GTL0408510510A1</p><p>Exp Date:09/2027</p>",Inofarma,,"","mqty:1, Obat Bebas",true,Title,Default Title,,,,,,,,ID111930-1,37.0,shopify,deny,manual,47800.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID111930-1_05092025_b60c250e-f302-4e48-b234-49a68aac9f7e.jpg?v=1760337207,1,Loratadine Tablet 10 Mg,false,Loratadine Tablet 10 Mg,"LORATADINE Hexpharm TABLET 10 MG adalah obat yang mengandung loratadine yang diindikasikan untuk mengatasi gejala alergi seperti hay fever, urtikaria.",,,,,,,,,g,,,active
panadol-flu-dan-batuk-sterling-kaplet,Panadol Flu Dan Batuk Sterling Kaplet,"<p>1 Amplop @ 1 Blister @ 10 Kaplet</p><p>Deskripsi: PANADOL FLU DAN BATUK Sterling KAPLET adalah obat yang mengandung paracetamol, dextromethorphan hydrobromide, phenylephrine hydrochloride, yang di indikasikan untuk meringankan gejala flu, seperti demam, sakit kepala, hidung tersumbat, dan bersin.</p><p>Komposisi: Setiap tablet mengandung:Paracetamol 500 mg, Phenylephrine HCL 5 mg, dan Dextromethorphan HBr 15 mg</p><p>Golongan Obat: BLUE</p><p>Bentuk Sediaan: KAPLET</p><p>NIE:DTL1124503604A1</p><p>Exp Date:11/2027</p>",Inofarma,,"","mqty:2, Obat Bebas",true,Title,Default Title,,,,,,,,ID115791-2,26.0,shopify,deny,manual,20500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID115791-2_12092025_c381c92f-dba0-437c-b4cc-62eda99a13d7.jpg?v=1760337206,1,Panadol Flu Dan Batuk Sterling Kaplet,false,Panadol Flu Dan Batuk Sterling Kaplet,"PANADOL FLU DAN BATUK Sterling KAPLET adalah obat yang mengandung paracetamol, dextromethorphan hydrobromide, phenylephrine hydrochloride, yang di indikasikan untuk meringankan gejala flu, seperti demam, sakit kepala, hidung tersumbat, dan bersin.",,,,,,,,,g,,,active
panadol-anak-anak-sterling-tablet-kunyah-120-mg,Panadol Anak-Anak Sterling Tablet Kunyah 120 Mg,<p>1 Amplop @ 1 Blister @ 10 Tablet Kunyah</p><p>Deskripsi: PANADOL ANAK-ANAK Sterling TABLET KUNYAH 120 MG adalah obat yang mengandung parasetamol untuk meredakan demam dan nyeri pada anak-anak</p><p>Komposisi: PARACETAMOL 120 MG</p><p>Golongan Obat: GREEN</p><p>Bentuk Sediaan: TABLET KUNYAH</p><p>NIE:DBL0124501963B1</p><p>Exp Date:07/2027</p>,Inofarma,,"","mqty:2, Obat Bebas",true,Title,Default Title,,,,,,,,ID115788-2,16.0,shopify,deny,manual,19000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID115788-2_12092025_14e80612-44bd-46d3-9c1e-51e2b5bb8f4e.jpg?v=1760337205,1,Panadol Anak-Anak Sterling Tablet Kunyah 120 Mg,false,Panadol Anak-Anak Sterling Tablet Kunyah 120 Mg,PANADOL ANAK-ANAK Sterling TABLET KUNYAH 120 MG adalah obat yang mengandung parasetamol untuk meredakan demam dan nyeri pada anak-anak,,,,,,,,,g,,,active
panadol-extra-sterling-kaplet,Panadol Extra Sterling Kaplet,"<p>1 Amplop @ 1 Blister @ 10 Kaplet</p><p>Deskripsi: PANADOL EXTRA Sterling KAPLET merupakan obat yang mengandung caffeine dan paracetamol untuk menurunkan demam, serta meringankan sakit kepala dan sakit gigi</p><p>Komposisi: Paracetamol 500 mg dan Caffeine 65 mg</p><p>Golongan Obat: GREEN</p><p>Bentuk Sediaan: KAPLET</p><p>NIE:DBL9424502004A1</p><p>Exp Date:01/2028</p>",Inofarma,,"","mqty:2, Obat Bebas",true,Title,Default Title,,,,,,,,ID115790-2,16.0,shopify,deny,manual,15600.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID115790-2_12092025_bc557e12-b4d5-4e07-b76f-fe802b3b4a3b.jpg?v=1760337204,1,Panadol Extra Sterling Kaplet,false,Panadol Extra Sterling Kaplet,"PANADOL EXTRA Sterling KAPLET merupakan obat yang mengandung caffeine dan paracetamol untuk menurunkan demam, serta meringankan sakit kepala dan sakit gigi",,,,,,,,,g,,,active
panadol-sterling-kaplet-500-mg,Panadol Sterling Kaplet 500 Mg,<p>1 Amplop @ 1 Blister @ 10 Kaplet</p><p>Deskripsi: PANADOL Sterling KAPLET 500 MG adalah obat yang mengandung parasetamol untuk menurunkan demam dan meredakan nyeri ringan hingga sedang</p><p>Komposisi: PARACETAMOL 500 MG</p><p>Golongan Obat: GREEN</p><p>Bentuk Sediaan: KAPLET</p><p>NIE:DBL9624502804A1</p><p>Exp Date:10/2027</p>,Inofarma,,"","mqty:2, Obat Bebas",true,Title,Default Title,,,,,,,,ID115792-2,152.0,shopify,deny,manual,13700.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID115792-2_12092025_9a84549b-31c5-46e4-8976-e81e3df8376b.jpg?v=1760337203,1,Panadol Sterling Kaplet 500 Mg,false,Panadol Sterling Kaplet 500 Mg,PANADOL Sterling KAPLET 500 MG adalah obat yang mengandung parasetamol untuk menurunkan demam dan meredakan nyeri ringan hingga sedang,,,,,,,,,g,,,active
inclarin-tablet-10-mg,Inclarin Tablet 10 Mg,"<p>Dus, 5 Amplop @1 Strip @ 10 Tablet</p><p>Deskripsi: INCLARIN Interbat TABLET 10 MG adalah obat yang mengandung loratadine yang diindikasikan untuk mengatasi gejala alergi seperti hay fever, urtikaria.</p><p>Komposisi: LORATADINE 10MG</p><p>Golongan Obat: BLUE</p><p>Bentuk Sediaan: TABLET</p><p>NIE:DTL9417609210A1</p><p>Exp Date:06/2029</p>",Inofarma,,"","mqty:1, Obat Bebas",true,Title,Default Title,,,,,,,,ID109290-2,58.0,shopify,deny,manual,474500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID109290-2_26082025_67c82a66-885e-4d98-a438-45def25037a1.png?v=1760337202,1,Inclarin Tablet 10 Mg,false,Inclarin Tablet 10 Mg,"INCLARIN Interbat TABLET 10 MG adalah obat yang mengandung loratadine yang diindikasikan untuk mengatasi gejala alergi seperti hay fever, urtikaria.",,,,,,,,,g,,,active
new-enzyplex-tablet,New Enzyplex Tablet,"<p>Dus, 25 Catch Cover @ 1 Strip @ 4 Tablet Salut Selaput</p><p>Deskripsi: NEW ENZYPLEX Medifarma TABLET adalah obat yang mengandung amylase, calcium pantothenate, cholic acid, dimeticone, lipase, nicotinamide, protease, vitamin b1, vitamin b12, vitamin b2 yang diindikasikan untuk membantu proses pencernaan dengan mencegah dan mengatasi gangguan pada pencernaan seperti rasa kembung, rasa penuh pada lambung, dan keadaankeadaan dimana dobutuhkan peningkatan enzim percernaan seperti makan terlalu banyak, intolerasi terhadap makanan, salah cerna dan lainlain gangguan pencernaan fungsional</p><p>Komposisi: Tiap tablet salut enterik mengandung: Amylase, Protease, Lipase, Desoxycholic acid, Vitamin B1, Vitamin B2, Vitamin B6, Niacinamide, Calcium Pantothenate</p><p>Golongan Obat: GREEN</p><p>Bentuk Sediaan: TABLET</p><p>NIE:DBL2104530717A1</p><p>Exp Date:04/2027</p>",Inofarma,,"","mqty:1, Obat Bebas",true,Title,Default Title,,,,,,,,ID105698-8,273.0,shopify,deny,manual,337500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID105698-8_29082025_06895a1e-c0e3-4ab4-b352-40057911eb00.jpg?v=1760337201,1,New Enzyplex Tablet,false,New Enzyplex Tablet,"NEW ENZYPLEX Medifarma TABLET adalah obat yang mengandung amylase, calcium pantothenate, cholic acid, dimeticone, lipase, nicotinamide, protease, vitamin b1, vitamin b12, vitamin b2 yang diindikasikan untuk membantu proses pencernaan dengan mencegah dan mengatasi gangguan pada pencernaan seperti rasa kembung, rasa penuh pada lambung, dan keadaankeadaan dimana dobutuhkan peningkatan enzim percernaan seperti makan terlalu banyak, intolerasi terhadap makanan, salah cerna dan lainlain gangguan pencernaan fungsional</p>",,,,,,,,,g,,,active
